Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
-0.344	1.067	0.002	0.008
-0.346	1.067	0.002	0.008
-0.349	1.067	0.002	0.008
-0.35	1.067	0.002	0.008
-0.351	1.067	0.002	0.008
-0.352	1.067	0.002	0.008
-0.354	1.1	0.002	0.008
-0.354	1.067	0.002	0.008
-0.355	1.1	0.002	0.008
-0.356	1.067	0.002	0.008
-0.357	1.1	0.002	0.008
-0.361	1.1	0.002	0.008
-0.366	1.067	0.002	0.008
-0.366	1.067	0.002	0.008
-0.368	1.1	0.002	0.008
-0.368	1.067	0.002	0.008
-0.374	1.1	0.002	0.008
-0.374	1.067	0.002	0.008
-0.375	1.067	0.002	0.008
-0.382	1.1	0.002	0.008
-0.382	1.1	0.002	0.008
-0.382	1.067	0.002	0.008
-0.383	1.067	0.002	0.008
-0.384	1.067	0.002	0.008
-0.386	1.1	0.002	0.008
-0.39	1.067	0.002	0.008
-0.393	1.067	0.002	0.008
-0.394	1.1	0.002	0.008
-0.395	1.067	0.002	0.008
-0.397	1.1	0.002	0.008
-0.398	1.067	0.002	0.008
-0.399	1.1	0.002	0.008
-0.406	1.067	0.002	0.008
-0.406	1.067	0.002	0.008
-0.409	1.067	0.002	0.008
-0.41	1.1	0.002	0.008
-0.412	1.1	0.002	0.008
-0.412	1.067	0.002	0.008
-0.414	1.067	0.002	0.008
-0.416	1.1	0.002	0.008
-0.42	1.067	0.002	0.008
-0.422	1.067	0.002	0.008
-0.422	1.1	0.002	0.008
-0.426	1.1	0.002	0.008
-0.428	1.1	0.002	0.008
-0.428	1.067	0.002	0.008
-0.429	1.067	0.002	0.008
-0.432	1.067	0.002	0.008
-0.433	1.1	0.002	0.008
-0.439	1.1	0.002	0.008
-0.443	1.067	0.002	0.008
-0.443	1.067	0.002	0.008
-0.445	1.1	0.002	0.008
-0.445	1.067	0.002	0.008
-0.449	1.1	0.002	0.008
-0.451	1.067	0.002	0.008
-0.454	1.1	0.002	0.008
-0.456	1.067	0.002	0.008
-0.461	1.1	0.002	0.008
-0.464	1.1	0.002	0.008
-0.464	1.1	0.002	0.008
-0.466	1.067	0.002	0.008
-0.471	1.067	0.002	0.008
-0.473	1.067	0.002	0.008
-0.474	1.1	0.002	0.008
-0.477	1.067	0.002	0.008
-0.477	1.1	0.002	0.008
-0.48	1.1	0.002	0.008
-0.484	1.067	0.002	0.008
-0.486	1.1	0.002	0.008
-0.488	1.067	0.002	0.008
-0.494	1.1	0.002	0.008
-0.499	1.1	0.002	0.008
-0.499	1.067	0.002	0.008
-0.5	1.067	0.002	0.008
-0.504	1.1	0.002	0.008
-0.508	1.067	0.002	0.008
-0.51	1.1	0.002	0.008
-0.51	1.1	0.002	0.008
-0.515	1.1	0.002	0.008
-0.517	1.1	0.002	0.008
-0.517	1.067	0.002	0.008
-0.526	1.067	0.002	0.008
-0.526	1.1	0.002	0.008
-0.53	1.067	0.002	0.008
-0.535	1.1	0.002	0.008
-0.536	1.1	0.002	0.008
-0.537	1.067	0.002	0.008
-0.542	1.1	0.002	0.008
-0.544	1.1	0.002	0.008
-0.55	1.067	0.002	0.008
-0.555	1.067	0.002	0.008
-0.556	1.1	0.002	0.008
-0.557	1.1	0.002	0.008
-0.561	1.1	0.002	0.008
-0.561	1.1	0.002	0.008
-0.567	1.1	0.002	0.008
-0.567	1.067	0.002	0.008
-0.572	1.1	0.002	0.008
-0.574	1.1	0.002	0.008
-0.583	1.067	0.002	0.008
-0.585	1.1	0.002	0.008
-0.589	1.1	0.002	0.008
-0.591	1.067	0.002	0.008
-0.595	1.1	0.002	0.008
-0.598	1.1	0.002	0.008
-0.6	1.1	0.002	0.008
-0.604	1.1	0.002	0.008
-0.608	1.1	0.002	0.008
-0.615	1.067	0.002	0.008
-0.617	1.1	0.002	0.008
-0.621	1.1	0.002	0.008
-0.628	1.1	0.002	0.008
