t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
11.66667	-24.49468	0.01	1
11.7	-36.43093	0.01	1
11.73333	-47.45937	0.01	1
11.76667	-55.88749	0.01	1
11.8	-62.86423	0.01	1
11.83333	-68.66569	0.01	1
11.86667	-72.65516	0.01	1
11.9	-75.66281	0.01	1
11.93333	-75.69089	0.01	1
11.96667	-73.88002	0.01	1
12	-69.71024	0.01	1
12.03333	-64.29247	0.01	1
12.06667	-55.54104	0.01	1
12.1	-45.81683	0.01	1
12.13333	-33.44229	0.01	1
12.16667	-20.68101	0.01	1
12.2	-10.45165	0.01	1
12.23333	6.069485	0.01	1
12.26667	18.18333	0.01	1
12.3	32.79593	0.01	1
12.33333	43.85496	0.01	1
12.36667	55.32196	0.01	1
12.4	63.91766	0.01	1
12.43333	70.70986	0.01	1
12.46667	74.85226	0.01	1
12.5	75.87515	0.01	1
12.53333	76.35529	0.01	1
12.56667	74.71857	0.01	1
12.6	70.86016	0.01	1
12.63333	65.21707	0.01	1
12.66667	57.61837	0.01	1
12.7	47.6792	0.01	1
12.73333	35.77555	0.01	1
12.76667	23.12523	0.01	1
12.8	15.09944	0.01	1
12.83333	2.467742	0.01	1
12.86667	-11.6542	0.01	1
12.9	-21.19386	0.01	1
12.93333	-33.96844	0.01	1
12.96667	-43.9684	0.01	1
13	-53.38047	0.01	1
13.03333	-60.81664	0.01	1
13.06667	-68.20161	0.01	1
13.1	-72.01391	0.01	1
13.13333	-74.17077	0.01	1
13.16667	-74.21218	0.01	1
13.2	-72.45318	0.01	1
13.23333	-68.63795	0.01	1
13.26667	-63.26169	0.01	1
13.3	-55.9496	0.01	1
13.33333	-45.95349	0.01	1
13.36667	-34.34174	0.01	1
13.4	-25.78138	0.01	1
13.43333	-8.22997	0.01	1
13.46667	4.799553	0.01	1
13.5	18.11351	0.01	1
13.53333	30.59303	0.01	1
13.56667	41.59712	0.01	1
13.6	52.54372	0.01	1
13.63333	61.29526	0.01	1
13.66667	69.38995	0.01	1
13.7	71.70122	0.01	1
13.73333	74.07616	0.01	1
13.76667	74.56217	0.01	1
13.8	73.48397	0.01	1
13.83333	70.24461	0.01	1
13.86667	66.91717	0.01	1
13.9	59.4256	0.01	1
13.93333	47.52887	0.01	1
13.96667	37.20639	0.01	1
14	23.85195	0.01	1
14.03333	11.16431	0.01	1
14.06667	-1.6847	0.01	1
14.1	-15.81632	0.01	1
14.13333	-26.65775	0.01	1
14.16667	-38.84529	0.01	1
14.2	-48.93753	0.01	1
14.23333	-57.80669	0.01	1
14.26667	-65.3038	0.01	1
14.3	-69.73178	0.01	1
14.33333	-72.97298	0.01	1
14.36667	-74.28054	0.01	1
14.4	-73.89027	0.01	1
14.43333	-72.04584	0.01	1
14.46667	-68.46913	0.01	1
14.5	-63.12382	0.01	1
14.53333	-54.64548	0.01	1
14.56667	-45.68036	0.01	1
14.6	-32.85344	0.01	1
14.63333	-25.94548	0.01	1
14.66667	-8.320409	0.01	1
14.7	5.042695	0.01	1
14.73333	19.05575	0.01	1
14.76667	30.58062	0.01	1
14.8	43.10724	0.01	1
14.83333	53.24386	0.01	1
14.86667	62.04453	0.01	1
14.9	69.08615	0.01	1
14.93333	73.6323	0.01	1
14.96667	74.2151	0.01	1
15	74.96911	0.01	1
15.03333	73.16332	0.01	1
15.06667	70.16598	0.01	1
15.1	63.53285	0.01	1
15.13333	55.87858	0.01	1
15.16667	46.11631	0.01	1
15.2	34.68299	0.01	1
15.23333	23.66786	0.01	1
15.26667	9.965066	0.01	1
15.3	-4.323393	0.01	1
15.33333	-17.62593	0.01	1
15.36667	-26.89536	0.01	1
15.4	-38.62231	0.01	1
15.43333	-49.01266	0.01	1
15.46667	-56.99661	0.01	1
15.5	-63.90463	0.01	1
15.53333	-68.78351	0.01	1
15.56667	-71.76537	0.01	1
15.6	-72.60327	0.01	1
15.63333	-71.74298	0.01	1
15.66667	-68.75362	0.01	1
15.7	-63.60006	0.01	1
15.73333	-56.16847	0.01	1
15.76667	-47.59362	0.01	1
15.8	-38.18006	0.01	1
15.83333	-27.9584	0.01	1
15.86667	-13.98513	0.01	1
15.9	0.5146104	0.01	1
15.93333	14.18735	0.01	1
15.96667	26.78272	0.01	1
16	37.99264	0.01	1
16.03333	48.88595	0.01	1
16.06667	54.00124	0.01	1
16.1	62.60078	0.01	1
16.13333	66.11902	0.01	1
16.16667	70.26744	0.01	1
16.2	72.45094	0.01	1
16.23333	72.84571	0.01	1
16.26667	71.25361	0.01	1
16.3	67.71084	0.01	1
16.33333	61.87957	0.01	1
16.36667	53.86397	0.01	1
16.4	44.22102	0.01	1
16.43333	35.9903	0.01	1
16.46667	23.59913	0.01	1
16.5	10.94212	0.01	1
16.53333	-2.12405	0.01	1
16.56667	-18.72103	0.01	1
16.6	-30.54587	0.01	1
16.63333	-40.89946	0.01	1
16.66667	-49.56155	0.01	1
16.7	-58.0615	0.01	1
16.73333	-64.70296	0.01	1
16.76667	-69.09122	0.01	1
16.8	-71.93276	0.01	1
