Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.23	1.1	0.02	0.008
0.22	1.133	0.02	0.008
0.22	1.1	0.02	0.008
0.22	1.1	0.02	0.008
0.22	1.1	0.02	0.008
0.21	1.1	0.02	0.008
0.21	1.133	0.02	0.008
0.21	1.1	0.02	0.008
0.2	1.1	0.02	0.008
0.2	1.133	0.02	0.008
0.19	1.1	0.02	0.008
0.19	1.1	0.02	0.008
0.19	1.1	0.02	0.008
0.19	1.133	0.02	0.008
0.18	1.1	0.02	0.008
0.17	1.067	0.02	0.008
-0.17	1.1	0.02	0.008
-0.17	1.1	0.02	0.008
-0.17	1.133	0.02	0.008
-0.18	1.1	0.02	0.008
-0.18	1.1	0.02	0.008
-0.19	1.133	0.02	0.008
-0.19	1.1	0.02	0.008
-0.19	1.1	0.02	0.008
-0.2	1.1	0.02	0.008
-0.2	1.133	0.02	0.008
-0.2	1.1	0.02	0.008
-0.21	1.1	0.02	0.008
-0.21	1.133	0.02	0.008
-0.21	1.1	0.02	0.008
-0.21	1.1	0.02	0.008
-0.22	1.133	0.02	0.008
-0.22	1.1	0.02	0.008
-0.22	1.1	0.02	0.008
-0.22	1.133	0.02	0.008
-0.23	1.067	0.02	0.008
-0.23	1.133	0.02	0.008
-0.23	1.1	0.02	0.008
-0.23	1.133	0.02	0.008
-0.23	1.1	0.02	0.008
-0.24	1.1	0.02	0.008
-0.24	1.133	0.02	0.008
-0.24	1.1	0.02	0.008
-0.24	1.1	0.02	0.008
-0.24	1.1	0.02	0.008
-0.24	1.1	0.02	0.008
-0.25	1.1	0.02	0.008
-0.25	1.133	0.02	0.008
-0.25	1.1	0.02	0.008
-0.25	1.133	0.02	0.008
-0.26	1.133	0.02	0.008
-0.26	1.1	0.02	0.008
-0.26	1.1	0.02	0.008
-0.27	1.1	0.02	0.008
-0.27	1.133	0.02	0.008
-0.27	1.1	0.02	0.008
-0.27	1.1	0.02	0.008
-0.27	1.133	0.02	0.008
-0.27	1.1	0.02	0.008
-0.27	1.1	0.02	0.008
-0.27	1.1	0.02	0.008
-0.27	1.133	0.02	0.008
-0.28	1.1	0.02	0.008
-0.28	1.1	0.02	0.008
-0.28	1.133	0.02	0.008
-0.28	1.1	0.02	0.008
-0.29	1.1	0.02	0.008
-0.29	1.133	0.02	0.008
-0.29	1.1	0.02	0.008
-0.29	1.1	0.02	0.008
-0.29	1.133	0.02	0.008
-0.29	1.1	0.02	0.008
-0.3	1.133	0.02	0.008
-0.3	1.1	0.02	0.008
-0.3	1.1	0.02	0.008
-0.3	1.1	0.02	0.008
-0.3	1.133	0.02	0.008
-0.3	1.133	0.02	0.008
-0.3	1.1	0.02	0.008
-0.3	1.1	0.02	0.008
-0.31	1.133	0.02	0.008
-0.31	1.1	0.02	0.008
-0.31	1.1	0.02	0.008
-0.31	1.1	0.02	0.008
-0.31	1.133	0.02	0.008
-0.31	1.1	0.02	0.008
-0.32	1.1	0.02	0.008
-0.32	1.1	0.02	0.008
-0.32	1.133	0.02	0.008
-0.32	1.1	0.02	0.008
-0.32	1.1	0.02	0.008
-0.33	1.133	0.02	0.008
-0.33	1.133	0.02	0.008
-0.33	1.1	0.02	0.008
-0.33	1.133	0.02	0.008
-0.33	1.067	0.02	0.008
-0.33	1.133	0.02	0.008
-0.33	1.133	0.02	0.008
-0.34	1.1	0.02	0.008
-0.34	1.133	0.02	0.008
-0.34	1.067	0.02	0.008
-0.34	1.133	0.02	0.008
-0.34	1.133	0.02	0.008
-0.35	1.1	0.02	0.008
-0.35	1.1	0.02	0.008
-0.35	1.1	0.02	0.008
-0.35	1.1	0.02	0.008
-0.35	1.133	0.02	0.008
-0.35	1.133	0.02	0.008
-0.35	1.1	0.02	0.008
-0.35	1.133	0.02	0.008
-0.35	1.1	0.02	0.008
-0.36	1.133	0.02	0.008
-0.36	1.067	0.02	0.008
-0.36	1.1	0.02	0.008
-0.36	1.133	0.02	0.008
-0.37	1.133	0.02	0.008
-0.37	1.1	0.02	0.008
-0.37	1.133	0.02	0.008
-0.37	1.1	0.02	0.008
-0.37	1.1	0.02	0.008
-0.37	1.1	0.02	0.008
-0.37	1.133	0.02	0.008
-0.38	1.133	0.02	0.008
-0.38	1.1	0.02	0.008
-0.38	1.133	0.02	0.008
-0.38	1.1	0.02	0.008
-0.38	1.1	0.02	0.008
-0.38	1.1	0.02	0.008
-0.39	1.1	0.02	0.008
-0.39	1.133	0.02	0.008
-0.39	1.133	0.02	0.008
-0.39	1.1	0.02	0.008
-0.39	1.1	0.02	0.008
-0.4	1.133	0.02	0.008
-0.4	1.1	0.02	0.008
-0.4	1.1	0.02	0.008
-0.4	1.133	0.02	0.008
-0.4	1.133	0.02	0.008
-0.41	1.133	0.02	0.008
-0.41	1.1	0.02	0.008
-0.41	1.133	0.02	0.008
-0.41	1.133	0.02	0.008
-0.41	1.067	0.02	0.008
-0.42	1.1	0.02	0.008
-0.42	1.133	0.02	0.008
-0.42	1.133	0.02	0.008
-0.42	1.1	0.02	0.008
-0.42	1.133	0.02	0.008
-0.43	1.1	0.02	0.008
-0.43	1.1	0.02	0.008
-0.43	1.1	0.02	0.008
-0.43	1.133	0.02	0.008
-0.43	1.133	0.02	0.008
-0.43	1.1	0.02	0.008
-0.44	1.133	0.02	0.008
-0.44	1.1	0.02	0.008
-0.44	1.1	0.02	0.008
-0.44	1.133	0.02	0.008
-0.45	1.133	0.02	0.008
-0.45	1.1	0.02	0.008
-0.45	1.133	0.02	0.008
-0.45	1.1	0.02	0.008
-0.45	1.1	0.02	0.008
-0.46	1.133	0.02	0.008
-0.46	1.133	0.02	0.008
-0.46	1.1	0.02	0.008
-0.46	1.1	0.02	0.008
-0.46	1.133	0.02	0.008
-0.46	1.133	0.02	0.008
-0.46	1.1	0.02	0.008
-0.46	1.133	0.02	0.008
-0.46	1.1	0.02	0.008
-0.47	1.133	0.02	0.008
-0.47	1.133	0.02	0.008
-0.47	1.1	0.02	0.008
-0.47	1.133	0.02	0.008
-0.48	1.133	0.02	0.008
-0.48	1.1	0.02	0.008
-0.48	1.133	0.02	0.008
-0.48	1.1	0.02	0.008
-0.48	1.1	0.02	0.008
-0.48	1.133	0.02	0.008
-0.49	1.133	0.02	0.008
-0.49	1.1	0.02	0.008
-0.49	1.133	0.02	0.008
-0.5	1.133	0.02	0.008
-0.5	1.133	0.02	0.008
-0.5	1.1	0.02	0.008
-0.5	1.133	0.02	0.008
-0.5	1.133	0.02	0.008
-0.5	1.1	0.02	0.008
-0.51	1.1	0.02	0.008
-0.51	1.133	0.02	0.008
-0.52	1.133	0.02	0.008
-0.52	1.133	0.02	0.008
-0.52	1.1	0.02	0.008
-0.52	1.133	0.02	0.008
-0.52	1.133	0.02	0.008
-0.53	1.1	0.02	0.008
-0.53	1.1	0.02	0.008
-0.53	1.133	0.02	0.008
-0.54	1.133	0.02	0.008
-0.54	1.133	0.02	0.008
-0.55	1.133	0.02	0.008
-0.55	1.133	0.02	0.008
-0.55	1.1	0.02	0.008
-0.55	1.1	0.02	0.008
-0.56	1.133	0.02	0.008
-0.57	1.133	0.02	0.008
-0.57	1.133	0.02	0.008
-0.57	1.133	0.02	0.008
-0.57	1.1	0.02	0.008
-0.58	1.133	0.02	0.008
-0.58	1.133	0.02	0.008
-0.58	1.133	0.02	0.008
-0.59	1.133	0.02	0.008
-0.59	1.133	0.02	0.008
-0.59	1.1	0.02	0.008
-0.6	1.133	0.02	0.008
-0.6	1.133	0.02	0.008
-0.6	1.1	0.02	0.008
-0.61	1.133	0.02	0.008
-0.61	1.133	0.02	0.008
-0.62	1.133	0.02	0.008
-0.62	1.133	0.02	0.008
-0.62	1.133	0.02	0.008
-0.63	1.133	0.02	0.008
-0.63	1.133	0.02	0.008
-0.63	1.133	0.02	0.008
-0.64	1.133	0.02	0.008
-0.64	1.133	0.02	0.008
-0.64	1.133	0.02	0.008
-0.65	1.1	0.02	0.008
-0.65	1.133	0.02	0.008
-0.66	1.1	0.02	0.008
-0.66	1.133	0.02	0.008
-0.66	1.133	0.02	0.008
-0.67	1.167	0.02	0.008
-0.68	1.133	0.02	0.008
-0.68	1.133	0.02	0.008
-0.68	1.167	0.02	0.008
-0.68	1.133	0.02	0.008
-0.68	1.1	0.02	0.008
-0.69	1.167	0.02	0.008
-0.69	1.1	0.02	0.008
-0.69	1.133	0.02	0.008
-0.7	1.133	0.02	0.008
-0.7	1.133	0.02	0.008
-0.71	1.133	0.02	0.008
-0.71	1.133	0.02	0.008
-0.71	1.133	0.02	0.008
-0.72	1.133	0.02	0.008
-0.73	1.133	0.02	0.008
-0.73	1.167	0.02	0.008
-0.74	1.133	0.02	0.008
-0.74	1.133	0.02	0.008
-0.74	1.133	0.02	0.008
-0.75	1.167	0.02	0.008
-0.75	1.133	0.02	0.008
-0.75	1.1	0.02	0.008
-0.76	1.167	0.02	0.008
-0.76	1.133	0.02	0.008
-0.77	1.133	0.02	0.008
-0.79	1.133	0.02	0.008
-0.79	1.167	0.02	0.008
-0.8	1.167	0.02	0.008
-0.81	1.167	0.02	0.008
-0.81	1.133	0.02	0.008
-0.82	1.167	0.02	0.008
-0.82	1.133	0.02	0.008
-0.82	1.133	0.02	0.008
-0.82	1.167	0.02	0.008
-0.83	1.133	0.02	0.008
-0.84	1.167	0.02	0.008
-0.84	1.133	0.02	0.008
-0.84	1.133	0.02	0.008
-0.84	1.167	0.02	0.008
-0.85	1.133	0.02	0.008
-0.85	1.167	0.02	0.008
-0.85	1.167	0.02	0.008
-0.86	1.133	0.02	0.008
-0.88	1.133	0.02	0.008
-0.88	1.167	0.02	0.008
-0.89	1.167	0.02	0.008
-0.9	1.167	0.02	0.008
-0.9	1.133	0.02	0.008
-0.9	1.167	0.02	0.008
-0.91	1.167	0.02	0.008
-0.91	1.133	0.02	0.008
-0.92	1.167	0.02	0.008
-0.93	1.167	0.02	0.008
-0.93	1.167	0.02	0.008
-0.95	1.167	0.02	0.008
-0.96	1.167	0.02	0.008
-0.96	1.167	0.02	0.008
-0.97	1.167	0.02	0.008
-0.98	1.2	0.02	0.008
-0.98	1.133	0.02	0.008
-0.99	1.2	0.02	0.008
-0.99	1.167	0.02	0.008
-1.0	1.167	0.02	0.008
-1.0	1.167	0.02	0.008
-1.01	1.2	0.02	0.008
-1.04	1.2	0.02	0.008
-1.05	1.167	0.02	0.008
-1.06	1.2	0.02	0.008
-1.07	1.2	0.02	0.008
-1.08	1.167	0.02	0.008
-1.08	1.167	0.02	0.008
-1.11	1.167	0.02	0.008
-1.11	1.2	0.02	0.008
-1.13	1.2	0.02	0.008
-1.16	1.2	0.02	0.008
-1.17	1.2	0.02	0.008
-1.17	1.2	0.02	0.008
-1.19	1.2	0.02	0.008
-1.21	1.2	0.02	0.008
-1.21	1.233	0.02	0.008
-1.22	1.2	0.02	0.008
-1.23	1.233	0.02	0.008
-1.23	1.2	0.02	0.008
-1.25	1.2	0.02	0.008
-1.27	1.233	0.02	0.008
-1.27	1.233	0.02	0.008
-1.3	1.2	0.02	0.008
-1.3	1.233	0.02	0.008
-1.32	1.267	0.02	0.008
-1.32	1.233	0.02	0.008
-1.34	1.233	0.02	0.008
-1.36	1.233	0.02	0.008
-1.38	1.233	0.02	0.008
-1.42	1.267	0.02	0.008
-1.42	1.267	0.02	0.008
-1.45	1.233	0.02	0.008
-1.47	1.267	0.02	0.008
-1.49	1.267	0.02	0.008
